cnae_descricao,tipo
"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",mal
"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",mal
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,mal
Fabricação de papel,mal
Fabricação de pós alimentícios,mal
Fabricação de produtos à base de café,mal
Fabricação de produtos de carne,mal
Fabricação de produtos de padaria e confeitaria com predominância de produção própria,mal
Fabricação de produtos de panificação industrial,mal
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,mal
"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",mal
"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",mal
Fabricação de produtos derivados do cacau e de chocolates,mal
Fabricação de produtos do arroz,mal
"Fabricação de produtos para infusão (chá, mate, etc.)",mal
Fabricação de produtos petroquímicos básicos,mal
"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",mal
Fabricação de refrigerantes,mal
Fabricação de sorvetes e outros gelados comestíveis,mal
"Fabricação de sucos concentrados de frutas, hortaliças e legumes",mal
"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",mal
Fabricação de vinagres,mal
Fabricação de vinho,mal
Formulação de combustíveis,mal
Frigorífico - abate de bovinos,mal
Frigorífico - abate de bufalinos,mal
Frigorífico - abate de eqüinos,mal
Frigorífico - abate de ovinos e caprinos,mal
Frigorífico - abate de suínos,mal
"Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores",mal
Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo,mal
"Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo",mal
"Manutenção e reparação de tratores, exceto agrícolas",mal
Matadouro - abate de reses sob contrato - exceto abate de suínos,mal
Matadouro - abate de suínos sob contrato,mal
Moagem de trigo e fabricação de derivados,mal
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,mal
Outros serviços de transporte aéreo de passageiros não-regular,mal
Outros transportes rodoviários de passageiros não especificados anteriormente,mal
"Pelotização, sinterização e outros beneficiamentos de minério de ferro",mal
Preparação de subprodutos do abate,mal
Preparação do leite,mal
Processamento industrial do fumo,mal
Produção de carvão vegetal - florestas nativas,mal
Produção de carvão vegetal - florestas plantadas,mal
Produção de casca de acácia-negra - florestas plantadas,mal
Produção de gás; processamento de gás natural,mal
Produção de ovos,mal
Produção de pintos de um dia,mal
Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas,mal
Produção de sementes certificadas de forrageiras para formação de pasto,mal
"Produção de sementes certificadas, exceto de forrageiras para pasto",mal
Refino e outros tratamentos do sal,mal
"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",mal
Rerrefino de óleos lubrificantes,mal
Serrarias com desdobramento de madeira,mal
Serrarias sem desdobramento de madeira,mal
Serviço de inseminação artificial em animais,mal
Serviço de manejo de animais,mal
Serviço de poda de árvores para lavouras,mal
"Serviço de preparação de terreno, cultivo e colheita",mal
Serviço de pulverização e controle de pragas agrícolas,mal
Serviço de táxi aéreo e locação de aeronaves com tripulação,mal
Serviço de tosquiamento de ovinos,mal
Torrefação e moagem de café,mal
Transporte aéreo de carga,mal
Transporte aéreo de passageiros regular,mal
Transporte ferroviário de carga,mal
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual",mal
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana",mal
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana",mal
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional",mal
"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal",mal
"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",mal
"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",mal
"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",mal
"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",mal
Transporte rodoviário de mudanças,mal
Transporte rodoviário de produtos perigosos,mal
